sample_index,P,K,Mg,pH
54,90.7,236.0,133.0,7.1
55,104.0,226.0,128.0,7.0
56,76.5,228.0,136.0,7.4
57,67.8,225.0,150.0,7.2
58,86.7,209.0,147.0,7.0
59,58.4,172.0,136.0,6.7
60,84.5,212.0,83.5,7.5
61,93.2,176.0,100.0,7.4
62,185.0,234.0,123.0,7.3
63,95.6,234.0,126.0,7.0
64,63.0,174.0,125.0,7.0
65,112.0,225.0,125.0,7.0
66,97.4,228.0,144.0,7.2
67,69.2,241.0,124.0,7.1
68,61.6,198.0,136.0,7.3
69,119.0,207.0,105.0,7.2
70,101.0,218.0,113.0,7.2
71,49.7,199.0,141.0,7.4
72,54.6,190.0,130.0,7.2
73,83.9,247.0,219.0,7.4
74,100.0,246.0,240.0,7.4
75,76.0,267.0,272.0,7.3
76,43.3,209.0,300.0,7.2
77,44.3,188.0,357.0,7.1
78,27.1,189.0,336.0,7.0
79,56.2,218.0,240.0,7.2
80,37.0,178.0,228.0,6.9
81,34.7,192.0,277.0,7.0
82,31.1,202.0,256.0,7.0
83,32.1,192.0,242.0,7.0
84,44.9,198.0,246.0,7.2
85,51.0,226.0,240.0,7.2
86,75.4,249.0,245.0,7.3
87,83.3,244.0,237.0,7.4
88,92.5,221.0,186.0,7.4
89,67.3,199.0,170.0,7.4
90,58.3,201.0,198.0,7.2
91,32.6,168.0,186.0,7.2
92,31.5,194.0,283.0,7.0
93,28.2,209.0,271.0,6.8
94,65.4,153.0,131.0,6.8
95,53.8,147.0,136.0,6.9
96,47.1,176.0,209.0,6.9
97,32.1,184.0,261.0,7.0
98,28.6,193.0,232.0,7.0
99,36.6,172.0,183.0,7.1
100,53.6,209.0,195.0,7.1
101,66.3,225.0,193.0,7.2
102,93.5,243.0,203.0,7.3
103,73.8,195.0,188.0,7.1
104,41.8,180.0,202.0,7.1
105,31.7,183.0,246.0,7.1
106,28.9,190.0,310.0,6.9
107,30.6,203.0,277.0,6.9
108,30.6,177.0,237.0,6.9
109,26.5,164.0,222.0,7.0
110,29.0,170.0,206.0,6.9
111,42.0,178.0,196.0,6.9
112,58.0,195.0,198.0,7.1
113,25.1,145.0,183.0,7.2
114,20.3,145.0,212.0,6.9
115,34.6,201.0,222.0,6.8
116,34.4,221.0,220.0,6.8
117,90.6,255.0,166.0,6.7
118,85.4,196.0,129.0,6.8
119,72.3,246.0,172.0,6.9
120,37.6,250.0,26.8,6.7
121,58.0,273.0,274.0,6.7
122,49.1,240.0,266.0,6.8
123,48.8,222.0,217.0,6.8
124,65.4,283.0,247.0,6.8
125,60.6,258.0,239.0,6.6
126,102.0,201.0,150.0,7.0
127,77.8,251.0,210.0,6.8
128,85.3,255.0,200.0,7.2
129,87.1,267.0,190.0,7.3
130,92.0,226.0,173.0,7.1
131,119.0,233.0,149.0,7.2
132,122.0,242.0,129.0,7.2
133,77.8,229.0,208.0,6.7
134,47.5,239.0,286.0,6.5
135,55.2,236.0,218.0,6.7
136,68.2,210.0,167.0,6.7
137,78.6,221.0,200.0,6.9
138,153.0,490.0,271.0,7.0
139,144.0,440.0,306.0,7.2
140,61.2,225.0,225.0,7.0
141,87.1,216.0,142.0,7.3
142,78.1,235.0,166.0,7.2
143,92.3,277.0,160.0,7.0
144,56.9,239.0,215.0,7.0
145,61.0,220.0,199.0,7.0
146,93.8,223.0,140.0,7.3
147,77.8,239.0,210.0,7.0
148,48.9,242.0,231.0,6.9
149,65.8,203.0,145.0,7.1
150,140.0,312.0,216.0,7.4
151,77.5,216.0,132.0,7.1
152,102.0,223.0,128.0,7.2
153,60.7,220.0,187.0,7.0
154,71.5,180.0,151.0,6.9
155,50.6,199.0,181.0,7.0
156,56.9,194.0,176.0,7.0
157,25.6,246.0,328.0,6.7
158,23.1,245.0,400.0,6.7
159,29.7,218.0,294.0,6.9
160,35.8,241.0,286.0,6.8
161,37.1,263.0,269.0,6.7
162,31.6,200.0,231.0,6.8
163,28.6,191.0,254.0,6.8
164,22.9,197.0,205.0,6.8
165,28.0,252.0,211.0,6.8
166,39.9,228.0,163.0,6.8
167,39.0,171.0,187.0,6.7
168,68.9,153.0,132.0,6.8
169,55.0,193.0,151.0,6.9
170,123.0,196.0,121.0,7.1
171,145.0,229.0,137.0,6.7
172,51.7,189.0,160.0,6.8
173,47.0,222.0,156.0,7.0
174,37.4,192.0,165.0,6.9
175,52.2,202.0,128.0,7.0
176,78.9,216.0,145.0,6.8
177,122.0,186.0,143.0,6.8
178,162.0,204.0,162.0,7.0
179,178.0,270.0,192.0,7.0
180,189.0,177.0,119.0,6.7
181,134.0,228.0,191.0,6.5
182,55.1,165.0,138.0,6.61
183,51.4,233.0,134.0,6.83
184,97.4,201.0,87.7,6.69
185,51.6,206.0,116.0,6.71
186,77.0,213.0,54.6,6.93
187,54.5,201.0,87.2,6.8
188,47.9,203.0,99.7,6.83
189,76.6,179.0,76.2,6.63
190,63.7,192.0,114.0,6.73
191,60.5,194.0,112.0,6.62
192,69.6,199.0,76.7,6.66
193,39.6,167.0,84.9,6.67
194,44.2,174.0,96.5,6.55
195,50.6,212.0,96.3,6.67
196,58.1,218.0,87.2,6.5
197,52.7,220.0,88.9,6.5
198,56.0,188.0,78.0,6.7
199,71.2,205.0,67.7,6.5
200,56.8,134.0,85.5,6.7
201,87.8,197.0,84.5,6.7
202,68.3,231.0,78.4,6.9
203,64.1,227.0,67.8,6.5
204,88.9,188.0,64.2,6.3
205,90.5,194.0,67.0,6.4
206,57.8,199.0,76.2,6.6
207,42.5,196.0,90.4,7.0
208,60.8,180.0,78.8,7.0
209,47.1,190.0,109.0,7.0
210,40.9,170.0,97.0,7.0
211,93.7,190.0,61.1,6.7
212,94.9,185.0,73.6,6.8
213,74.1,226.0,81.3,6.8
214,59.8,211.0,93.8,6.7
215,84.0,216.0,82.1,6.6
216,83.6,202.0,84.9,6.5
217,51.4,192.0,109.0,7.0
218,40.0,174.0,103.0,7.0
219,43.6,176.0,91.3,7.0
220,80.7,158.0,63.7,6.6
221,60.2,181.0,73.8,6.6
222,48.4,180.0,91.9,6.8
223,50.6,180.0,88.1,6.9
224,41.5,219.0,99.4,7.0
225,39.2,218.0,89.5,6.8
226,46.1,188.0,106.0,6.6
227,67.8,193.0,87.5,6.7
228,75.4,235.0,95.9,6.6
229,82.7,159.0,90.6,6.7
230,91.6,187.0,68.5,6.6
231,120.0,208.0,56.8,6.5
232,78.8,190.0,81.0,7.1
233,62.8,189.0,101.0,6.9
234,55.2,207.0,121.0,6.8
235,60.3,169.0,91.4,6.8
236,83.5,190.0,93.7,6.8
237,52.4,109.0,62.7,7.1
238,60.4,189.0,117.0,7.1
239,57.4,150.0,75.2,7.0
240,51.3,185.0,110.0,7.0
241,48.0,188.0,113.0,7.0
242,68.0,217.0,136.0,6.9
243,63.7,252.0,162.0,7.0
244,50.0,235.0,172.0,6.8
245,49.3,200.0,134.0,6.9
246,83.1,207.0,141.0,6.8
247,42.3,232.0,137.0,6.75
248,37.1,228.0,196.0,6.72
249,54.3,231.0,119.0,6.92
250,38.2,245.0,240.0,6.74
251,27.6,233.0,250.0,6.58
252,41.5,193.0,107.0,6.75
253,29.1,222.0,129.0,6.77
254,43.7,204.0,156.0,6.77
255,45.2,214.0,133.0,6.73
256,47.6,211.0,124.0,6.81
257,46.1,234.0,135.0,6.75
258,46.3,222.0,114.0,6.93
259,77.2,185.0,147.0,6.4
260,40.0,191.0,242.0,6.6
261,47.6,200.0,152.0,6.6
262,60.7,237.0,173.0,6.6
263,51.6,222.0,151.0,6.6
264,42.5,205.0,203.0,6.4
265,44.2,202.0,129.0,6.8
266,41.3,242.0,246.0,6.5
267,30.3,199.0,219.0,6.6
268,40.4,221.0,189.0,6.6
269,37.5,216.0,169.0,6.6
270,53.4,197.0,126.0,6.6
271,51.3,166.0,165.0,6.7
272,82.4,194.0,119.0,6.3
273,70.6,187.0,144.0,6.3
274,76.6,233.0,116.0,6.4
275,62.5,188.0,138.0,6.7
276,49.5,193.0,142.0,6.8
277,45.7,213.0,166.0,6.6
278,74.8,194.0,94.7,6.5
279,60.2,182.0,164.0,6.6
280,50.5,274.0,135.0,6.7
281,107.0,241.0,118.0,6.9
282,82.3,194.0,113.0,6.8
283,38.8,199.0,196.0,6.8
284,60.3,178.0,116.0,6.6
285,33.7,197.0,182.0,6.6
286,41.5,201.0,157.0,6.4
287,43.3,220.0,198.0,6.4
288,48.8,183.0,145.0,6.7
289,25.9,192.0,225.0,6.7
290,56.1,184.0,134.0,6.6
291,42.0,221.0,132.0,6.6
292,38.6,200.0,159.0,6.6
293,73.3,196.0,134.0,6.7
294,47.9,206.0,200.0,6.5
295,51.9,232.0,163.0,6.5
296,89.2,173.0,129.0,6.4
297,73.8,192.0,106.0,6.5
298,49.2,201.0,116.0,6.8
299,47.1,236.0,239.0,6.9
300,47.4,204.0,241.0,6.8
301,67.4,204.0,164.0,7.1
302,53.2,199.0,178.0,6.9
303,50.8,225.0,217.0,6.8
304,67.8,218.0,183.0,6.7
305,64.0,206.0,171.0,6.9
306,66.8,196.0,164.0,6.9
307,50.0,190.0,211.0,6.9
308,52.4,200.0,247.0,6.8
309,58.0,200.0,198.0,7.2
310,61.8,191.0,199.0,6.9
311,66.9,189.0,206.0,6.8
312,48.2,164.0,223.0,6.9
313,65.9,202.0,216.0,6.9
314,64.7,191.0,213.0,7.1
315,56.4,208.0,189.0,7.1
316,52.0,207.0,182.0,7.0
317,52.8,233.0,206.0,7.0
318,56.7,225.0,224.0,7.0
319,58.6,201.0,209.0,6.9
320,63.7,219.0,242.0,6.9
321,64.7,209.0,223.0,6.9
322,54.6,214.0,238.0,7.0
323,62.5,190.0,228.0,6.9
324,56.5,173.0,197.0,6.9
325,47.5,173.0,194.0,6.8
326,33.3,186.0,168.0,6.9
327,67.2,195.0,147.0,6.7
328,49.4,191.0,155.0,6.9
329,50.6,196.0,154.0,6.9
330,113.0,194.0,99.6,7.1
331,128.0,175.0,88.2,6.97
332,106.0,190.0,105.0,7.11
333,91.8,193.0,144.0,7.14
334,91.9,164.0,130.0,7.04
335,97.4,175.0,138.0,7.11
336,114.0,157.0,135.0,7.07
337,113.0,196.0,135.0,6.86
338,108.0,176.0,132.0,7.14
339,89.0,184.0,160.0,7.1
340,100.0,202.0,164.0,7.17
341,107.0,222.0,163.0,7.05
342,109.0,227.0,169.0,7.06
343,190.0,174.0,146.0,6.9
344,209.0,194.0,126.0,7.21
345,165.0,171.0,140.0,7.06
346,130.0,193.0,144.0,7.09
347,133.0,219.0,171.0,7.05
348,110.0,161.0,165.0,7.04
349,106.0,179.0,175.0,7.09
350,89.8,170.0,157.0,7.27
351,93.7,173.0,167.0,7.13
352,78.7,152.0,152.0,7.07
353,132.0,186.0,156.0,6.94
354,96.5,160.0,188.0,6.96
355,128.0,197.0,175.0,6.99
356,127.0,176.0,168.0,6.83
357,188.0,180.0,161.0,6.86
358,198.0,205.0,172.0,6.64
359,186.0,216.0,167.0,6.88
360,86.2,209.0,117.0,6.9
361,78.7,233.0,123.0,6.79
362,49.3,242.0,131.0,7.13
363,48.5,235.0,133.0,7.16
364,54.4,212.0,130.0,6.97
365,64.1,204.0,125.0,6.98
366,42.4,190.0,157.0,6.83
367,40.6,186.0,140.0,6.97
368,45.8,169.0,154.0,6.97
369,47.4,239.0,138.0,7.03
370,66.9,237.0,120.0,6.84
371,116.0,183.0,132.0,6.86
372,95.9,218.0,138.0,7.2
373,69.9,195.0,162.0,7.18
374,72.5,214.0,153.0,7.23
375,102.0,239.0,162.0,6.87
376,114.0,242.0,154.0,6.92
377,114.0,255.0,146.0,6.85
378,122.0,240.0,143.0,6.77
379,103.0,244.0,143.0,6.88
380,85.4,235.0,179.0,6.91
381,83.2,247.0,190.0,7.0
382,64.4,225.0,183.0,6.9
383,62.4,253.0,230.0,6.7
384,43.1,223.0,238.0,6.8
385,44.3,258.0,231.0,7.0
386,49.0,239.0,206.0,6.9
387,48.2,206.0,211.0,6.7
388,43.3,196.0,213.0,6.7
389,51.0,204.0,183.0,6.7
390,59.1,202.0,192.0,6.8
391,52.4,197.0,203.0,6.8
392,50.8,205.0,210.0,6.8
393,53.7,226.0,221.0,7.0
394,110.0,414.0,213.0,7.2
395,63.5,271.0,248.0,7.0
396,49.9,233.0,241.0,6.8
397,53.0,233.0,224.0,6.7
398,51.1,209.0,222.0,7.1
399,44.0,245.0,256.0,7.1
400,66.8,231.0,258.0,6.8
401,62.5,225.0,255.0,7.0
402,52.3,214.0,256.0,6.8
403,39.7,189.0,192.0,7.3
404,36.4,158.0,164.0,6.3
405,48.4,145.0,135.0,6.4
406,27.7,166.0,166.0,6.7
407,40.6,152.0,116.0,6.4
408,24.3,133.0,120.0,6.7
409,33.0,170.0,137.0,6.8
410,35.5,151.0,170.0,6.7
411,40.3,182.0,145.0,6.6
412,58.6,213.0,123.0,6.6
413,37.1,130.0,111.0,6.5
414,42.9,140.0,119.0,6.7
415,42.8,130.0,115.0,6.8
416,39.2,175.0,164.0,6.6
417,33.5,176.0,165.0,6.6
418,251.0,310.0,154.0,7.27
419,325.0,265.0,103.0,6.95
420,125.0,225.0,145.0,7.43
421,125.0,222.0,114.0,7.11
422,72.1,395.0,153.0,7.41
423,56.6,237.0,147.0,6.87
424,53.7,223.0,119.0,7.05
425,33.8,238.0,162.0,6.76
426,46.9,190.0,129.0,6.86
427,79.2,228.0,119.0,7.13
428,134.0,225.0,124.0,7.04
429,59.5,202.0,134.0,7.34
430,40.9,236.0,126.0,6.78
431,46.2,241.0,146.0,6.9
432,42.9,218.0,112.0,6.97
433,50.2,243.0,112.0,7.36
434,91.6,257.0,169.0,7.12
435,82.3,239.0,132.0,7.39
436,90.1,237.0,156.0,7.24
437,83.6,196.0,184.0,7.02
438,83.3,202.0,163.0,7.12
439,83.9,274.0,177.0,7.35
440,82.8,302.0,186.0,7.0
441,74.3,299.0,214.0,6.95
442,80.3,288.0,207.0,7.03
443,221.0,411.0,229.0,6.78
444,96.9,294.0,245.0,6.71
445,160.0,362.0,171.0,6.43
446,136.0,349.0,195.0,6.87
447,123.0,363.0,195.0,6.96
448,87.8,365.0,248.0,6.93
449,74.9,429.0,258.0,6.79
450,76.3,415.0,249.0,7.2
451,107.0,338.0,215.0,7.15
452,105.0,428.0,220.0,6.82
453,116.0,354.0,198.0,6.87
454,241.0,625.0,249.0,6.1
455,94.5,338.0,286.0,6.75
456,230.0,494.0,281.0,6.47
457,245.0,440.0,253.0,6.63
458,139.0,467.0,243.0,6.9
459,136.0,328.0,260.0,7.26
460,127.0,441.0,220.0,6.96
461,104.0,304.0,177.0,7.23
462,108.0,292.0,207.0,7.29
463,92.9,185.0,143.0,7.1
464,68.8,165.0,129.0,6.9
465,76.4,198.0,138.0,7.1
466,69.4,198.0,160.0,6.9
467,45.8,233.0,150.0,7.0
468,47.4,201.0,142.0,7.1
469,95.1,225.0,146.0,6.8
470,69.7,199.0,145.0,6.9
471,77.6,173.0,124.0,7.0
472,54.1,183.0,150.0,6.9
473,52.5,176.0,132.0,7.0
474,52.6,198.0,147.0,7.1
475,55.9,217.0,147.0,7.0
476,53.7,211.0,147.0,7.2
477,46.5,191.0,131.0,7.0
478,50.2,198.0,143.0,6.8
479,39.8,181.0,186.0,6.8
480,58.0,195.0,157.0,7.1
481,81.5,203.0,138.0,6.9
482,75.7,179.0,126.0,6.9
483,84.1,180.0,98.5,6.9
484,111.0,217.0,119.0,7.1
485,126.0,203.0,136.0,7.2
486,81.7,164.0,108.0,7.1
487,82.2,203.0,124.0,7.0
488,102.0,208.0,102.0,6.9
489,86.1,216.0,119.0,7.0
490,126.0,170.0,108.0,6.9
491,73.6,172.0,116.0,7.0
492,84.7,164.0,87.7,6.9
493,65.7,186.0,127.0,7.0
494,101.0,194.0,107.0,6.9
495,104.0,173.0,139.0,6.6
496,48.6,192.0,125.0,6.8
497,52.5,118.0,113.0,7.0
498,40.5,204.0,188.0,6.7
499,104.0,218.0,163.0,7.1
500,186.0,412.0,160.0,7.0
501,104.0,346.0,201.0,7.1
502,55.3,292.0,188.0,7.1
503,94.3,323.0,180.0,6.9
504,113.0,218.0,124.0,6.4
505,76.6,199.0,144.0,6.6
506,67.8,177.0,150.0,6.6
507,47.6,195.0,160.0,6.8
508,68.3,185.0,144.0,6.6
509,56.3,195.0,134.0,6.6
510,59.7,222.0,142.0,6.6
511,47.3,197.0,145.0,6.9
512,68.2,191.0,131.0,6.9
513,46.9,240.0,182.0,7.0
514,73.0,252.0,226.0,6.8
515,82.9,228.0,203.0,6.8
516,158.0,214.0,181.0,6.6
517,136.0,269.0,219.0,6.7
518,116.0,338.0,236.0,6.7
519,115.0,330.0,216.0,6.6
520,96.0,190.0,105.0,6.3
521,71.0,210.0,116.0,6.6
522,60.0,182.0,134.0,6.7
523,47.8,253.0,155.0,6.6
524,39.0,220.0,129.0,6.6
525,59.2,210.0,96.7,6.6
526,74.4,236.0,101.0,6.1
527,110.0,163.0,61.4,6.3
528,77.0,247.0,86.9,6.6
529,74.0,180.0,89.2,6.8
530,50.8,191.0,144.0,6.9
531,40.1,217.0,161.0,6.8
532,35.4,208.0,160.0,6.8
533,52.2,228.0,220.0,6.8
534,32.0,206.0,157.0,6.8
535,46.7,169.0,161.0,6.7
536,44.1,180.0,180.0,6.6
537,46.0,249.0,185.0,6.8
538,49.9,221.0,230.0,6.6
539,41.3,265.0,297.0,6.7
540,54.3,273.0,265.0,6.7
541,49.0,213.0,165.0,6.8
542,60.2,271.0,249.0,6.8
543,55.1,229.0,115.0,6.58
544,72.9,240.0,115.0,6.68
545,41.2,232.0,196.0,6.73
546,25.2,183.0,167.0,7.2
547,55.2,201.0,77.5,7.27
548,144.0,194.0,67.2,6.89
549,121.0,242.0,57.1,6.83
550,71.0,226.0,77.4,6.74
551,70.4,221.0,90.7,7.22
552,38.9,192.0,103.0,7.09
553,28.9,194.0,97.1,7.03
554,29.1,195.0,163.0,6.44
555,56.1,232.0,76.6,6.96
556,47.2,224.0,99.4,7.22
557,77.8,252.0,76.1,6.71
558,57.6,241.0,81.0,7.15
559,42.3,248.0,88.6,6.79
560,27.4,238.0,149.0,6.83
561,48.7,208.0,73.2,7.03
562,36.1,193.0,77.2,5.73
563,53.8,239.0,63.6,6.56
564,34.6,191.0,122.0,6.72
565,41.0,188.0,82.0,6.67
566,92.8,218.0,90.6,6.61
567,135.0,224.0,210.0,6.9
568,67.5,235.0,191.0,6.9
569,79.6,232.0,211.0,6.92
570,42.5,195.0,156.0,6.9
571,41.5,209.0,175.0,6.9
572,60.7,214.0,185.0,7.2
573,48.0,194.0,164.0,7.0
574,57.5,182.0,158.0,6.9
575,50.5,224.0,255.0,6.5
576,58.2,200.0,165.0,6.5
577,34.5,258.0,193.0,6.4
578,39.2,201.0,155.0,6.7
579,37.6,191.0,153.0,6.6
580,50.6,279.0,141.0,6.8
581,44.6,199.0,160.0,7.0
582,64.0,305.0,204.0,7.2
583,73.2,434.0,259.0,7.3
584,47.6,354.0,176.0,7.0
585,44.1,301.0,181.0,6.9
586,35.2,237.0,153.0,6.7
587,39.7,204.0,136.0,6.8
588,45.4,183.0,117.0,6.8
589,53.7,256.0,239.0,6.5
590,84.1,407.0,261.0,6.8
591,44.7,220.0,147.0,6.8
592,47.2,249.0,161.0,6.7
593,40.6,238.0,158.0,6.8
594,29.3,271.0,228.0,6.9
595,52.5,203.0,195.0,7.0
596,46.5,180.0,179.0,7.1
597,101.0,206.0,123.0,7.1
598,72.8,177.0,145.0,7.0
599,47.4,228.0,164.0,7.0
600,42.4,204.0,157.0,7.0
601,47.0,185.0,177.0,7.0
602,23.6,208.0,163.0,7.2
603,53.1,206.0,225.0,7.1
604,68.4,230.0,220.0,6.8
605,34.2,180.0,253.0,6.7
606,42.4,201.0,194.0,6.8
607,48.0,201.0,174.0,6.9
608,25.7,218.0,112.0,7.4
609,37.6,208.0,137.0,7.4
610,62.9,197.0,186.0,6.9
611,78.4,198.0,171.0,6.9
612,63.6,219.0,160.0,7.2
613,72.4,178.0,194.0,6.9
614,53.1,197.0,151.0,6.8
615,62.2,198.0,141.0,6.9
616,51.2,204.0,172.0,6.9
617,62.5,205.0,179.0,6.8
618,48.1,180.0,173.0,6.8
619,81.6,259.0,161.0,6.9
620,82.1,234.0,154.0,7.0
621,60.2,202.0,140.0,6.9
622,115.0,250.0,163.0,7.0
623,92.2,223.0,177.0,6.9
624,71.6,269.0,201.0,6.9
625,64.1,199.0,167.0,6.7
626,115.0,261.0,195.0,7.0
627,109.0,221.0,187.0,7.0
628,60.8,256.0,196.0,6.8
629,103.0,250.0,157.0,6.7
630,90.3,308.0,159.0,6.8
631,88.8,253.0,227.0,6.7
632,26.5,113.0,297.0,6.6
633,66.7,212.0,150.0,6.8
634,61.7,222.0,166.0,6.9
635,55.4,208.0,197.0,6.8
636,80.4,240.0,247.0,6.7
637,49.6,239.0,237.0,6.9
638,74.4,255.0,231.0,6.7
639,57.3,231.0,240.0,6.8
640,123.0,134.0,78.8,6.6
641,31.1,225.0,206.0,7.0
642,67.0,236.0,161.0,6.9
643,23.7,119.0,197.0,6.2
644,23.4,137.0,145.0,5.6
645,27.4,133.0,149.0,6.0
646,63.2,207.0,207.0,6.5
647,73.4,199.0,133.0,6.8
648,83.2,309.0,161.0,6.7
649,80.1,332.0,163.0,7.0
650,109.0,323.0,148.0,7.1
651,67.3,282.0,179.0,7.0
652,82.6,294.0,179.0,6.9
653,79.8,299.0,167.0,6.9
654,53.6,267.0,161.0,7.0
655,79.0,393.0,163.0,7.4
656,62.8,353.0,181.0,6.9
657,53.7,280.0,169.0,6.8
658,43.0,229.0,184.0,6.5
659,52.2,237.0,190.0,6.9
660,53.8,247.0,184.0,6.6
661,73.9,390.0,156.0,7.1
662,84.9,420.0,142.0,6.9
663,60.3,239.0,136.0,7.0
664,52.3,308.0,168.0,6.3
665,37.4,293.0,205.0,6.4
666,49.6,247.0,193.0,6.6
667,45.4,252.0,185.0,6.6
668,55.6,271.0,162.0,6.9
669,51.2,311.0,183.0,6.7
670,63.2,382.0,192.0,6.7
671,74.2,349.0,183.0,6.7
672,36.6,244.0,175.0,6.6
673,31.6,223.0,153.0,6.5
674,43.6,245.0,143.0,6.6
675,46.5,209.0,173.0,6.8
676,59.1,373.0,176.0,6.6
677,45.7,224.0,168.0,6.7
678,60.1,255.0,193.0,6.6
679,66.5,285.0,211.0,7.1
680,50.6,246.0,170.0,6.9
681,60.5,262.0,183.0,6.8
682,86.4,411.0,180.0,7.0
683,39.4,222.0,175.0,6.7
684,37.2,229.0,155.0,7.0
685,48.1,245.0,167.0,6.9
686,44.1,231.0,194.0,6.8
687,32.3,229.0,202.0,6.7
688,53.9,251.0,163.0,6.8
689,65.0,255.0,185.0,6.8
690,56.1,249.0,167.0,6.8
691,63.4,303.0,164.0,6.8
692,76.6,351.0,165.0,6.9
693,64.1,287.0,160.0,6.9
694,32.4,268.0,161.0,6.8
695,45.4,209.0,143.0,6.8
696,34.3,245.0,184.0,7.2
697,58.1,261.0,175.0,7.0
698,95.7,267.0,170.0,6.8
699,52.8,249.0,189.0,6.7
700,60.2,268.0,213.0,6.9
701,94.9,290.0,187.0,6.8
702,104.0,313.0,179.0,6.9
703,66.2,345.0,203.0,6.6
704,62.9,312.0,171.0,6.6
705,23.9,210.0,197.0,6.7
706,26.3,206.0,192.0,6.7
707,88.9,210.0,178.0,6.7
708,162.0,279.0,174.0,6.6
709,108.0,258.0,174.0,6.7
710,62.5,245.0,183.0,6.7
711,66.9,258.0,188.0,6.6
712,125.0,282.0,192.0,6.7
713,95.2,397.0,184.0,6.6
714,38.7,295.0,197.0,6.7
715,34.1,325.0,211.0,7.2
716,44.2,267.0,202.0,7.0
717,173.0,285.0,199.0,6.7
718,117.0,253.0,177.0,6.7
719,78.9,232.0,174.0,6.7
720,108.0,270.0,199.0,6.8
721,157.0,281.0,204.0,6.8
722,119.0,270.0,217.0,6.8
723,112.0,381.0,180.0,6.8
724,130.0,367.0,196.0,7.0
725,114.0,358.0,194.0,6.9
726,77.8,248.0,202.0,6.7
727,80.0,181.0,152.0,6.7
728,81.0,160.0,133.0,6.6
729,72.9,187.0,158.0,6.5
730,102.0,236.0,143.0,6.4
731,81.2,148.0,100.0,6.4
732,70.5,184.0,158.0,6.3
733,67.7,226.0,167.0,6.4
734,83.3,220.0,152.0,6.5
735,89.5,199.0,137.0,6.4
736,64.4,185.0,125.0,6.5
737,208.0,175.0,84.4,6.4
738,111.0,214.0,129.0,7.1
739,46.2,228.0,148.0,6.7
740,62.3,206.0,116.0,6.7
741,98.7,198.0,89.0,6.4
742,54.7,195.0,108.0,6.8
743,47.2,214.0,112.0,6.9
744,36.9,208.0,120.0,6.9
745,170.0,170.0,105.0,6.4
746,186.0,242.0,103.0,6.2
747,65.7,261.0,138.0,6.6
748,103.0,316.0,156.0,6.5
749,96.3,239.0,132.0,6.2
750,39.4,190.0,120.0,6.5
751,30.7,203.0,112.0,6.4
752,60.2,183.0,176.0,6.6
753,97.0,301.0,133.0,6.6
754,49.4,241.0,166.0,6.7
755,79.2,300.0,181.0,6.6
756,81.8,292.0,159.0,6.4
757,70.1,241.0,155.0,6.3
758,48.5,215.0,140.0,6.3
759,49.1,240.0,132.0,6.5
760,56.9,232.0,199.0,6.9
761,66.2,242.0,167.0,6.7
762,60.7,278.0,146.0,6.8
763,68.5,267.0,160.0,6.6
764,68.6,299.0,181.0,6.5
765,67.7,324.0,159.0,6.6
766,59.1,283.0,119.0,6.7
767,43.6,295.0,153.0,6.3
768,46.0,205.0,152.0,6.7
769,62.5,228.0,121.0,6.8
770,59.7,223.0,131.0,6.8
771,64.6,243.0,184.0,6.5
772,64.1,281.0,176.0,6.4
773,67.4,313.0,184.0,6.4
774,66.4,335.0,159.0,6.6
775,52.5,286.0,142.0,6.6
